SL,Trade #,Type,,Date,Time,Price,,,,
1,123,Exit,Long,01-12-2025,15:25,"26,175.95",,,,
2,123,Entry,Long,01-12-2025,14:10,"26,212.10",,,,
3,122,Exit,Short,01-12-2025,12:10,"26,175.80",,,,
4,122,Entry,Short,01-12-2025,12:05,"26,197.55",,,,
5,121,Exit,Short,01-12-2025,10:40,"26,258.10",,,,
6,121,Entry,Short,01-12-2025,10:25,"26,278.75",,,,
7,120,Exit,Long,01-12-2025,09:15,"26,318.60",,,,
8,120,Entry,Long,28-11-2025,10:50,"26,270.25",,,,
9,119,Exit,Short,28-11-2025,10:50,"26,270.25",,,,
10,119,Entry,Short,27-11-2025,13:30,"26,151.85",,,,
11,118,Exit,Short,24-11-2025,12:25,"26,060.65",,,,
12,118,Entry,Short,24-11-2025,12:20,"26,078.25",,,,
13,117,Exit,Short,24-11-2025,11:50,"26,069.65",,,,
14,117,Entry,Short,24-11-2025,09:50,"26,095.45",,,,
15,116,Exit,Short,21-11-2025,15:20,"26,053.55",,,,
16,116,Entry,Short,21-11-2025,15:10,"26,071.25",,,,
17,115,Exit,Long,21-11-2025,12:50,"26,162.30",,,,
18,115,Entry,Long,21-11-2025,12:35,"26,141.50",,,,
19,114,Exit,Short,21-11-2025,10:15,"26,066.45",,,,
20,114,Entry,Short,21-11-2025,10:10,"26,086.90",,,,
21,113,Exit,Long,19-11-2025,12:25,"26,015.60",,,,
22,113,Entry,Long,19-11-2025,12:20,"25,996.60",,,,
23,112,Exit,Long,19-11-2025,11:45,"25,975.50",,,,
24,112,Entry,Long,19-11-2025,10:45,"25,962.70",,,,
25,111,Exit,Long,19-11-2025,10:35,"25,977.90",,,,
26,111,Entry,Long,19-11-2025,10:20,"25,965.60",,,,
27,110,Exit,Short,18-11-2025,15:20,"25,877.85",,,,
28,110,Entry,Short,18-11-2025,15:20,"25,893.90",,,,
29,109,Exit,Long,18-11-2025,13:35,"25,986.55",,,,
30,109,Entry,Long,18-11-2025,12:00,"25,974.30",,,,
31,108,Exit,Short,14-11-2025,09:15,"25,767.65",,,,
32,108,Entry,Short,13-11-2025,15:25,"25,875.20",,,,
33,107,Exit,Long,11-11-2025,12:25,"25,574.40",,,,
34,107,Entry,Long,11-11-2025,12:25,"25,557.45",,,,
35,106,Exit,Short,11-11-2025,09:20,"25,544.85",,,,
36,106,Entry,Short,10-11-2025,15:20,"25,568.60",,,,
